offense_type_id,offense_category_id,incident_address,x,y,long,lat,district_id,precinct_id,neighborhood_id,is_crime,is_traffic,victim_count
theft-stln-vehicle-trailer,auto-theft,958 N LOWELL BLVD,3130836,1691913,-105.0348091,39.732185,1,122,villa-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,3730 N DECATUR ST,3134394,1705250,-105.0219092,39.7687467,1,113,highland,1,0,1
theft-stln-vehicle-trailer,auto-theft,5000 BLK N NEWTON ST,3130227,1712089,-105.0366084,39.7875801,1,111,regis,1,0,1
theft-stln-vehicle-trailer,auto-theft,5000 BLK N HARLAN ST,3122977,1712027,-105.062407,39.7875086,1,111,regis,1,0,1
theft-stln-vehicle-trailer,auto-theft,CURTIS ST / 30TH ST,3146783,1702232,-104.9778994,39.7602746,2,211,five-points,1,0,1
theft-stln-vehicle-trailer,auto-theft,6804 E 48TH AVE,3165661,1710780,-104.9105557,39.7834231,2,221,northeast-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,E STAPLETON N DR / N FOREST ST,3161050,1709349,-104.9269939,39.7795758,2,221,northeast-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,3000 BLK E 5TH AVE,3154340,1689168,-104.9513008,39.7242894,3,311,cherry-creek,1,0,1
theft-stln-vehicle-trailer,auto-theft,5280 E 46TH AVE,3161316,1709532,-104.9260434,39.7800735,2,221,northeast-park-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,2896 N GENEVA ST,3177550,1701678,-104.8684794,39.7582176,5,512,central-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,900 BLK N CLARKSON ST,3146844,1691716,-104.9778974,39.7314054,6,623,capitol-hill,1,0,1
theft-stln-vehicle-trailer,auto-theft,2322 S FEDERAL BLVD,3133886,1670805,-105.0243578,39.6741955,4,422,college-view-south-platte,1,0,1
theft-stln-vehicle-trailer,auto-theft,1104 S SHERIDAN BLVD,3125852,1678879,-105.0527577,39.6964726,4,421,mar-lee,1,0,1
theft-stln-vehicle-trailer,auto-theft,2300 BLK S MADISON ST,3155705,1670835,-104.946845,39.6739387,3,314,university-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,888 S ONEIDA ST,3167055,1680792,-104.9062931,39.7010762,3,322,washington-virginia-vale,1,0,1
theft-stln-vehicle-trailer,auto-theft,200 W 48TH AVE,3143087,1710576,-104.9908793,39.7832377,1,112,globeville,1,0,1
theft-stln-vehicle-trailer,auto-theft,7700 BLK E QUINCY AVE,3169355,1658597,-104.8986414,39.6401042,3,324,hampden-south,1,0,1
theft-stln-vehicle-trailer,auto-theft,2645 W ALAMEDA AVE,3135384,1684412,-105.0187801,39.7115282,4,411,valverde,1,0,1
theft-stln-vehicle-trailer,auto-theft,1300 BLK N MEADE ST,3130635,1694109,-105.0354838,39.7382163,1,122,west-colfax,1,0,1
theft-stln-vehicle-trailer,auto-theft,1530 N ADAMS ST,3155085,1695175,-104.9485226,39.7407673,2,213,city-park,1,0,1
theft-stln-vehicle-trailer,auto-theft,2400 BLK N RACE ST,3150960,1699563,-104.9630984,39.752881,2,211,whittier,1,0,1
